date,entity_id,brand,product_name,category,price_index,demand_index,sentiment_index,search_index,ad_index,event_type,event_title,event_description,impact_direction,signal_story,priority,event_effect_hint
2025-04-01,101,SoundWave,SoundPods X3,earbuds,63.12,39.8,0.58,41.2,3.9,ad_campaign,Flash Sale Boost,Discount campaign on earbuds,positive,Spike in search and ad impressions driving demand,high,ad_boost
2025-04-01,201,NovaTech,NovaPhone S22,smartphones,462.8,36.4,0.52,47.1,5.3,organic,No active event,Stable organic demand,neutral,Consistent demand with mild sentiment dip,medium,organic_continuation
2025-04-01,301,FitTech,FitPulse Watch,smartwatches,135.7,28.1,0.61,44.3,4.1,review_spike,Positive Reviews Surge,Recent increase in positive reviews,positive,Sentiment uplift slightly improving demand,medium,sentiment_boost
2025-04-01,401,BoomAudio,BoomBox Mini,bluetooth_speakers,182.5,27.9,0.49,40.8,3.5,stock_issue,Low Stock Warning,Inventory shortage reported,negative,Search steady but demand suppressed due to stock,high,stock_drop
2025-04-01,501,PowerTech,PowerMax 20K,power_banks,76.2,24.3,0.54,48.6,2.9,price_drop,Price Discount,Price reduced to increase sales,positive,Search increased slightly due to pricing change,medium,price_effect
2025-04-01,524,SlateTab,SlateMax 11,tablets,789.5,27.2,0.57,43.0,5.9,ad_campaign,Tablet Promo Ads,Heavy ad promotion campaign,positive,Ad-driven visibility improving demand gradually,high,ad_boost
2025-04-01,601,ClearAudio,ClearSound H7,headphones,242.7,38.2,0.62,48.1,5.8,organic,No active event,Stable mid-month headphone demand,neutral,Organic continuation with steady audio category interest,low,organic_continuation
2025-04-02,101,SoundWave,SoundPods X3,earbuds,63.12,40.3,0.59,41.4,3.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,201,NovaTech,NovaPhone S22,smartphones,462.8,37.3,0.52,47.5,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,301,FitTech,FitPulse Watch,smartwatches,135.7,29.0,0.61,44.9,4.3,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,401,BoomAudio,BoomBox Mini,bluetooth_speakers,184.32,25.3,0.46,42.2,3.2,stock_issue,Portable Speaker Low Stock,Distribution gap limits near-term inventory,negative,Search holds but sell-through weakens,high,stock_drop
2025-04-02,501,PowerTech,PowerMax 20K,power_banks,76.2,24.1,0.53,49.5,2.9,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,524,SlateTab,SlateMax 11,tablets,789.5,26.4,0.57,43.9,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-02,601,ClearAudio,ClearSound H7,headphones,242.7,37.3,0.62,49.1,5.4,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,101,SoundWave,SoundPods X3,earbuds,63.12,42.8,0.59,46.3,6.2,ad_campaign,Summer Audio Flash Sale,3-day paid push around earbuds weekend deal,positive,"Paid ads lift visibility first, then search converts to demand",high,ad_boost
2025-04-03,201,NovaTech,NovaPhone S22,smartphones,462.8,38.1,0.53,48.1,5.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,301,FitTech,FitPulse Watch,smartwatches,135.7,29.7,0.61,45.6,4.5,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,401,BoomAudio,BoomBox Mini,bluetooth_speakers,185.21,23.9,0.45,43.0,3.1,organic,No active event,Baseline category demand with no major trigger,neutral,Demand easing as prior momentum cools and baseline normalizes,low,organic_continuation
2025-04-03,501,PowerTech,PowerMax 20K,power_banks,76.2,23.8,0.53,50.2,2.8,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,524,SlateTab,SlateMax 11,tablets,789.5,25.6,0.57,44.6,5.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
2025-04-03,601,ClearAudio,ClearSound H7,headphones,242.7,36.6,0.63,49.8,5.0,organic,No active event,Baseline category demand with no major trigger,neutral,Stable organic movement with minor day-to-day variation,low,organic_continuation
