date,entity_id,brand,product_name,category,event_type,event_title,event_description,impact_direction,linked_marker_date,linked_marker_type,signal_story,priority
2025-02-02,101,SoundWave,SoundPods X3,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-02,event,New color/variant announcement,medium
2025-02-06,101,SoundWave,SoundPods X3,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-02-06,event,Inventory shortage signal,high
2025-02-27,101,SoundWave,SoundPods X3,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-27,event,Flash discount campaign,medium
2025-03-03,101,SoundWave,SoundPods X3,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-03,event,Inventory shortage signal,high
2025-03-09,101,SoundWave,SoundPods X3,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-09,event,New color/variant announcement,medium
2025-03-13,101,SoundWave,SoundPods X3,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-13,event,Paid campaign burst,medium
2025-01-25,102,EchoTech,EchoBeats Lite,earbuds,price_hike,Price Increase,List price increase,negative,2025-01-25,event,List price increase,high
2025-02-08,102,EchoTech,EchoBeats Lite,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-02-08,event,Media and copy update,medium
2025-02-10,102,EchoTech,EchoBeats Lite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-10,event,Paid campaign burst,medium
2025-03-20,102,EchoTech,EchoBeats Lite,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-20,event,Inventory shortage signal,medium
2025-03-22,102,EchoTech,EchoBeats Lite,earbuds,price_hike,Price Increase,List price increase,negative,2025-03-22,event,List price increase,high
2025-01-13,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-13,event,Flash discount campaign,high
2025-01-16,103,PureAudio,PureSound Elite,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-01-16,event,Media and copy update,high
2025-01-25,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-25,event,Flash discount campaign,medium
2025-02-24,103,PureAudio,PureSound Elite,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-24,event,Flash discount campaign,medium
2025-03-20,103,PureAudio,PureSound Elite,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-20,event,Paid campaign burst,medium
2025-01-11,104,TechGear,TechBuds Pro,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-11,event,Inventory shortage signal,high
2025-02-08,104,TechGear,TechBuds Pro,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-08,event,New color/variant announcement,high
2025-02-22,104,TechGear,TechBuds Pro,earbuds,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-22,event,Flash discount campaign,high
2025-02-26,104,TechGear,TechBuds Pro,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-26,event,New color/variant announcement,high
2025-03-03,104,TechGear,TechBuds Pro,earbuds,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-03-03,event,Paid campaign burst,high
2025-01-06,105,ZenAudio,ZenEar Flex,earbuds,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-01-06,event,Inventory shortage signal,high
2025-02-11,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-02-11,event,Media and copy update,high
2025-02-26,105,ZenAudio,ZenEar Flex,earbuds,price_hike,Price Increase,List price increase,negative,2025-02-26,event,List price increase,high
2025-03-03,105,ZenAudio,ZenEar Flex,earbuds,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-03-03,event,New color/variant announcement,medium
2025-03-10,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-03-10,event,Media and copy update,medium
2025-03-25,105,ZenAudio,ZenEar Flex,earbuds,listing_update,Listing Refresh,Media and copy update,positive,2025-03-25,event,Media and copy update,medium
2025-01-15,201,NovaTech,NovaPhone S22,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-01-15,event,Media and copy update,high
2025-02-02,201,NovaTech,NovaPhone S22,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-02,event,Paid campaign burst,high
2025-02-06,201,NovaTech,NovaPhone S22,smartphones,launch_like,Variant Launch Buzz,New color/variant announcement,positive,2025-02-06,event,New color/variant announcement,high
2025-02-16,201,NovaTech,NovaPhone S22,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-02-16,event,Flash discount campaign,high
2025-03-13,201,NovaTech,NovaPhone S22,smartphones,stockout,Stock Availability Issue,Inventory shortage signal,negative,2025-03-13,event,Inventory shortage signal,high
2025-01-05,202,MaxMobile,BudgetMax 5G,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-01-05,event,Paid campaign burst,medium
2025-01-09,202,MaxMobile,BudgetMax 5G,smartphones,listing_update,Listing Refresh,Media and copy update,positive,2025-01-09,event,Media and copy update,high
2025-01-26,202,MaxMobile,BudgetMax 5G,smartphones,promo,Limited Time Promotion,Flash discount campaign,positive,2025-01-26,event,Flash discount campaign,high
2025-02-12,202,MaxMobile,BudgetMax 5G,smartphones,ad_burst,Major Ad Push,Paid campaign burst,positive,2025-02-12,event,Paid campaign burst,high
